idlojista,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,status_lojista,taxa_aprovacao
31936,Móveis Atenas,A,Móveis,26,26,15,15,22777.7000,14299.9000,ativo,0.62780263
33154,STRONG,A,Cauda Longa,3,5,5,3,313.9000,313.9000,ativo,1.00000000
33180,Brueds Calçados,A,Cauda Longa,1,1,1,1,250.0000,250.0000,ativo,1.00000000
33547,Infinity Presentes,A,Cauda Longa,10,11,9,8,773.9000,567.2500,ativo,0.73297584
33945,PERFUMA BRASIL,A,Cauda Longa,7,7,2,2,2642.8700,757.7500,inativo,0.28671482
34466,SUPEROFF,A,Cauda Longa,4,7,7,4,1267.6200,1267.6200,ativo,1.00000000
34647,VENDAS VIRTUAIS,Setup,Setup,50,61,48,37,3018.5700,2462.0000,ativo,0.81561799
34777,DAMASSA,A,Setup,1,1,1,1,136.6300,136.6300,ativo,1.00000000
35000,DECORAJA,A,Móveis,50,53,38,36,23459.0300,16679.1400,ativo,0.71099018
35039,COMBUY,A,Cauda Longa,64,72,53,50,17173.8600,12616.9700,ativo,0.73466128
36083,Sodimac Home Center,AAA,Setup,723,1235,1053,621,178204.7300,147114.4700,ativo,0.82553628
